"/home/justfunde/Work/MIET/vcd/s432_sky130/c432.gates.flat.synth.vcd"

=== FillTimingResults ===
timing.size()      = 5988909
[uniqueTime] inserted 1000/5988909 timestamps
[uniqueTime] inserted 2000/5988909 timestamps
[uniqueTime] inserted 3000/5988909 timestamps
[uniqueTime] inserted 4000/5988909 timestamps
[uniqueTime] inserted 5000/5988909 timestamps
[uniqueTime] inserted 6000/5988909 timestamps
[uniqueTime] inserted 7000/5988909 timestamps
[uniqueTime] inserted 8000/5988909 timestamps
[uniqueTime] inserted 9000/5988909 timestamps
[uniqueTime] inserted 10000/5988909 timestamps
[uniqueTime] inserted 11000/5988909 timestamps
[uniqueTime] inserted 12000/5988909 timestamps
[uniqueTime] inserted 13000/5988909 timestamps
[uniqueTime] inserted 14000/5988909 timestamps
[uniqueTime] inserted 15000/5988909 timestamps
[uniqueTime] inserted 16000/5988909 timestamps
[uniqueTime] inserted 17000/5988909 timestamps
[uniqueTime] inserted 18000/5988909 timestamps
[uniqueTime] inserted 19000/5988909 timestamps
[uniqueTime] inserted 20000/5988909 timestamps
[uniqueTime] inserted 21000/5988909 timestamps
[uniqueTime] inserted 22000/5988909 timestamps
[uniqueTime] inserted 23000/5988909 timestamps
[uniqueTime] inserted 24000/5988909 timestamps
[uniqueTime] inserted 25000/5988909 timestamps
[uniqueTime] inserted 26000/5988909 timestamps
[uniqueTime] inserted 27000/5988909 timestamps
[uniqueTime] inserted 28000/5988909 timestamps
[uniqueTime] inserted 29000/5988909 timestamps
[uniqueTime] inserted 30000/5988909 timestamps
[uniqueTime] inserted 31000/5988909 timestamps
[uniqueTime] inserted 32000/5988909 timestamps
[uniqueTime] inserted 33000/5988909 timestamps
[uniqueTime] inserted 34000/5988909 timestamps
[uniqueTime] inserted 35000/5988909 timestamps
[uniqueTime] inserted 36000/5988909 timestamps
[uniqueTime] inserted 37000/5988909 timestamps
[uniqueTime] inserted 38000/5988909 timestamps
[uniqueTime] inserted 39000/5988909 timestamps
[uniqueTime] inserted 40000/5988909 timestamps
[uniqueTime] inserted 41000/5988909 timestamps
[uniqueTime] inserted 42000/5988909 timestamps
[uniqueTime] inserted 43000/5988909 timestamps
[uniqueTime] inserted 44000/5988909 timestamps
[uniqueTime] inserted 45000/5988909 timestamps
[uniqueTime] inserted 46000/5988909 timestamps
[uniqueTime] inserted 47000/5988909 timestamps
[uniqueTime] inserted 48000/5988909 timestamps
[uniqueTime] inserted 49000/5988909 timestamps
